Question 1,Reason 1,Question 2,Reason 2,Relative_difficulty
How does the pseudoinverse of matrix A help in solving Ax = y?,"[""Involves intricate mathematics"", ""Involves very little or no mathematics"", ""Appears early in the book or is otherwise highlighted""]",How do you define a positve definite matrix?,"[""Involves very little or no mathematics"", ""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
What is the Euclidean norm?,"[""Involves very little or no mathematics"", ""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",Give an example of norm functions.,"[""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
What are the advantages of variational approach?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",Describe EM algorithm.,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
What is probabilistic max pooling?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What is the motivation for probabilistic max pooling?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",Second question is more difficult
What is d-separation for directed graphical models?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",What does the direction of the arrow indicate in a directed graphical model?,"[""Involves very little or no mathematics"", ""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
Why CD has lower variance compared to SML?,"[""Involves many prerequisite concepts""]","Why pseudolikelihood estimator can not be used with other approximations that provide only a lower bound on˜p(x), such asvariational inference?","[""Appears towards the end of the book or is otherwise hidden"", ""Involves many prerequisite concepts""]",They are equally difficult
How do you define a unit vector?,"[""Is about a fundamental concept"", ""Involves very little or no mathematics""]",What does second derivative tells us?,"[""Is about a fundamental concept"", ""Involves very little or no mathematics""]",They are equally difficult
What are the advantages of variational approach?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",What is the motivation for probabilistic max pooling?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",They are equally difficult
Describe stochastic matrices.,"[""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",What is a probability distribution?,"[""Is about a fundamental concept""]",First question is more difficult
What is a factor graph?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",What is independent component analysis?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
Describe stochastic matrices.,"[""Involves many prerequisite concepts"", ""Does not involve a lot of prerequisite concepts"", ""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Is about an obscure concept""]",What is singular value decomposition of a matrix A?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Second question is more difficult
What is a heuristic technique for performing block updates in binary sparse coding?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about an obscure concept"", ""Involves many prerequisite concepts""]",What is the REINFORCE algorithm?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",They are equally difficult
What are the disadvantages of deep belief networks?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",What are the advantages of variational approach?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",They are equally difficult
Give an example of norm functions.,"[""Does not involve a lot of prerequisite concepts"", ""Involves very little or no mathematics"", ""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",Why the intermediate layers in a feedforward neural network are called hidden layers?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",They are equally difficult
Why structured probabilistic models are called graphical models?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Describe a structured probabilistic model or graphical model.,"[""Involves many prerequisite concepts"", ""Does not involve a lot of prerequisite concepts"", ""Appears early in the book or is otherwise highlighted"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",They are equally difficult
What is a key difference between directed modeling and undirected modeling?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",What is the difference between Las Vegas and Monte Carlo algorithms?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
How do you define a recurrent neural network by computational graphs?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",What does Invariance to translation means ?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves very little or no mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",They are equally difficult
Define a deep belief network.,"[""Involves intricate mathematics"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Define deep Boltzmann machine.,"[""Involves intricate mathematics"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Second question is more difficult
What is probabilistic max pooling?,"[""Is about an obscure concept"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",What is a disadvantage of the REINFORCE algorithm?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",They are equally difficult
What does second derivative tells us?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",Why the intermediate layers in a feedforward neural network are called hidden layers?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Second question is more difficult
How ratio matching avoids the partition function?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Is about an obscure concept""]",What is the RNN-RBM model?,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
Describe few basic strategies for setting the time constants used by leaky units.,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What is the advantage of parameter sharing over regularizing the parameters to be close?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves very little or no mathematics""]",First question is more difficult
What is the advantage of deriving the cost function from maximum likelihood for deep neural networks?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",What are equality constraints and inequality constraints in generalized Lagrange function?,"[""Involves very little or no mathematics"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Second question is more difficult
Why deep learning is called deep?,"[""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What are the application of recursive neural networks?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Other""]",Second question is more difficult
What are the different categories of graphical models?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves very little or no mathematics"", ""Appears early in the book or is otherwise highlighted""]",How to draw samples from RNN considering it as graphical model?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
How do you define a recurrent neural network by computational graphs?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves very little or no mathematics""]",Why feedforward neural networks are called feedforward?,"[""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
What is a vector?,"[""Appears early in the book or is otherwise highlighted"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",How do you define a linear combination of a set of vectors?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",They are equally difficult
What are the disadvantages of deep belief networks?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What is a disadvantage of the REINFORCE algorithm?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",They are equally difficult
Why ESNs and liquid state machines are termed reservoir computing?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Is about an obscure concept"", ""Involves many prerequisite concepts""]",What is the difference between feedforward neural network and recurrent neural network?,"[""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
How do you define a positive semi-definite matrix?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",What is a probability distribution?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",First question is more difficult
What is a square matrix?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Is about an obscure concept"", ""Involves very little or no mathematics""]",What is second derivative.,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Is about an obscure concept"", ""Involves very little or no mathematics""]",They are equally difficult
Describe stochastic matrices.,"[""Does not involve a lot of prerequisite concepts"", ""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Is about an obscure concept"", ""Appears early in the book or is otherwise highlighted""]",How do you define a positve definite matrix?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
What is the advantage of a deep Boltzmann machine over a fully connected Boltzmann machine?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",When SML is vulnerable to becoming inaccurate?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about an obscure concept"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
How can you learn the weights of a linear regression model ?,"[""Involves many prerequisite concepts"", ""Involves intricate mathematics"", ""Appears early in the book or is otherwise highlighted"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",How do you define expectation of a function?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
What are the computational advantages of diagonal matrices?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Is about an obscure concept"", ""Involves many prerequisite concepts""]",How do you define a positve definite matrix?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
How do you define expectation of a function?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Other""]",What is a square matrix?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",First question is more difficult
What are the different categories of graphical models?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",What is the obstracles in knowing whether a Markov chain has mixed or not?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves many prerequisite concepts""]",Second question is more difficult
What is singular value decomposition of a matrix A?,"[""Involves intricate mathematics"", ""Involves many prerequisite concepts""]",How do you define a positive semi-definite matrix?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",First question is more difficult
Describe a structured probabilistic model or graphical model.,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",What is the semantics of structured probabilistic models?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
What does the direction of the arrow indicate in a directed graphical model?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Why ESNs and liquid state machines are termed reservoir computing?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about an obscure concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",Second question is more difficult
What is the difference between feedforward neural network and recurrent neural network?,"[""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",What is independent component analysis?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
How does the pseudoinverse of matrix A help in solving Ax = y?,"[""Involves intricate mathematics"", ""Involves many prerequisite concepts""]",What are the computational advantages of diagonal matrices?,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",First question is more difficult
What is the general principle of deep learning models?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",Why deep learning is called deep?,"[""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
What is the REINFORCE algorithm?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Why does the Boltzmann machine become more powerful when not all variables are observed?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",They are equally difficult
Why ESNs and liquid state machines are termed reservoir computing?,"[""Involves many prerequisite concepts"", ""Other"", ""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Appears early in the book or is otherwise highlighted""]",How NTMs alleviate the problem of optimizing functions that produce exact integer addresses?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Involves many prerequisite concepts""]",They are equally difficult
What are the advantages of variational approach?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Do we need to specify a specific parametric form for variational learning?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
What is a strong prior ?,"[""Involves very little or no mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",What does Invariance to translation means ?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
How does the pseudoinverse of matrix A help in solving Ax = y?,"[""Involves intricate mathematics"", ""Involves many prerequisite concepts""]",What are two different type of parameters in a multi-task model?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves very little or no mathematics""]",First question is more difficult
What is d-separation for directed graphical models?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about an obscure concept"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",How do you use damping to perform block updates in binary sparse coding?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about an obscure concept"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",They are equally difficult
What is mean field approach in variational learning?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Do we need to specify a specific parametric form for variational learning?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Second question is more difficult
What is marginal probability distribution?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",What is a square matrix?,"[""Is about a fundamental concept"", ""Involves very little or no mathematics""]",First question is more difficult
Why Poor condition number makes choosing a good step size difficult?,"[""Involves many prerequisite concepts"", ""Other"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",What is condition number,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",First question is more difficult
What is an orthogonal matrix?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What is a square matrix?,"[""Is about a fundamental concept"", ""Involves very little or no mathematics""]",First question is more difficult
What is the advantage of parameter sharing over regularizing the parameters to be close?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",What does Invariance to translation means ?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
What is the advantage of a deep Boltzmann machine over a fully connected Boltzmann machine?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What are the disadvantages of deep belief networks?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",They are equally difficult
Describe EM algorithm.,"[""Involves intricate mathematics"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Why CD has lower variance compared to SML?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Other""]",Second question is more difficult
What are the use cases of score matching?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Why does the Boltzmann machine become more powerful when not all variables are observed?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
What is a complete graph for a directed graphical model?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",What is d-separation for directed graphical models?,"[""Is about an obscure concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
How unsupervised pretraining helped in natural language processing?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",When to use an undirected model?,"[""Involves many prerequisite concepts"", ""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Appears towards the end of the book or is otherwise hidden"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
How to get truly independent samples from Markov chain?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves very little or no mathematics""]",What is mean field approach in variational learning?,"[""Involves intricate mathematics"", ""Involves many prerequisite concepts""]",Second question is more difficult
How model capacity is related to overfitting ?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",What are different regularization strategies?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Second question is more difficult
What are two different type of parameters in a multi-task model?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Describe softplus function.,"[""Involves many prerequisite concepts"", ""Other"", ""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Second question is more difficult
What are the different categories of graphical models?,"[""Involves very little or no mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Describe a structured probabilistic model or graphical model.,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Second question is more difficult
What are some successful applications of Bidirectional recurrent neural networks (or bidirectional RNNs)?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",What is the general principle of deep learning models?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Second question is more difficult
Explain how covariance may be related to dependence?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves very little or no mathematics""]",What is the Hadamard product?,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
Why Poor condition number makes choosing a good step size difficult?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What is the general principle of deep learning models?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
How to draw samples from RNN considering it as graphical model?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",What is the semantics of structured probabilistic models?,"[""Involves many prerequisite concepts"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves very little or no mathematics"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
What is the REINFORCE algorithm?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",Describe EM algorithm.,"[""Involves intricate mathematics"", ""Appears early in the book or is otherwise highlighted""]",Second question is more difficult
What is the Hadamard product?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",How do you define a unit vector?,"[""Involves very little or no mathematics"", ""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
Give an example of norm functions.,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",Describe the advantages of gradient descent over Newton's method,"[""Involves intricate mathematics"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Second question is more difficult
What are the advantages of variational approach?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What is a disadvantage of the REINFORCE algorithm?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",They are equally difficult
What is the general principle of deep learning models?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",What are saddle points?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",They are equally difficult
What is a structured probabilistic model?,"[""Involves many prerequisite concepts"", ""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",What is the idea behind echo state networks or ESNs and liquid state machines?,"[""Is about an obscure concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Second question is more difficult
What is the advantage of a deep Boltzmann machine over a fully connected Boltzmann machine?,"[""Involves many prerequisite concepts"", ""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves very little or no mathematics"", ""Appears early in the book or is otherwise highlighted""]",Why CD has lower variance compared to SML?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about an obscure concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
Describe a structured probabilistic model or graphical model.,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",What is a structured probabilistic model?,"[""Involves many prerequisite concepts"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves very little or no mathematics"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
What are frequently referred to in the literature as hallucinations or fantasy particles?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Involves many prerequisite concepts""]",Define deep Boltzmann machine.,"[""Involves intricate mathematics"", ""Appears early in the book or is otherwise highlighted""]",First question is more difficult
